0,2022/9/9,,,,,,,,,,,,
12,2022/5/10,12.0,环境罚金刑修复性易科制度的理论证成与建构路径,唐绍均; 王嘉琪,安徽大学学报(哲学社会科学版),期刊,,115.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=12&recid=&FileName=ADZS202203008&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 唐绍均1 王嘉琪2,环境罚金刑; 恢复性司法; 罚金刑易科; 修复性非刑罚措施;,社会科学Ⅱ辑; 社会科学Ⅰ辑,刑法
13,2022/5/10,13.0,环境犯罪认罪认罚从宽的适用困境及其破解,孙洪坤; 陈雅玲,安徽大学学报(哲学社会科学版),期刊,,192.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=13&recid=&FileName=ADZS202203009&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 孙洪坤1 陈雅玲2,环境犯罪; 认罪认罚; 适用困境; 检察主导; 配套制度;,社会科学Ⅱ辑; 社会科学Ⅰ辑,诉讼法与司法制度
14,2022/5/10,14.0,国家机关处理个人信息的特殊风险及其法律规制,孙清白,安徽大学学报(哲学社会科学版),期刊,,190.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=14&recid=&FileName=ADZS202203010&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 孙清白,国家机关; 个人信息; 《个人信息保护法》; 安全保障; 分级保护;,社会科学Ⅱ辑; 社会科学Ⅰ辑,行政法及地方法制; 民商法
15,2022/5/10,15.0,被遗忘权作为新型权利之确证与实践展开,阮晨欣,安徽大学学报(哲学社会科学版),期刊,,281.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=15&recid=&FileName=ADZS202203011&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 阮晨欣,被遗忘权; 人格权; 个人信息权; 新型权利; 《民法典》;,社会科学Ⅱ辑; 社会科学Ⅰ辑,民商法
16,2022/3/10,16.0,董事会存在最优规模吗?——基于大股东资金占用的证据,杜兴强; 张颖,安徽大学学报(哲学社会科学版),期刊,,520.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=16&recid=&FileName=ADZS202202010&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 杜兴强1 张颖2,董事会规模; 公司治理; 大股东资金占用; 俱乐部理论; 代理成本;,社会科学Ⅱ辑; 经济与管理科学,企业经济; 金融; 证券; 投资
17,2022/3/10,17.0,共有股东有利于稳定资本市场吗?——基于股价崩盘风险的视角,周冬华; 周思阳,安徽大学学报(哲学社会科学版),期刊,,668.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=17&recid=&FileName=ADZS202202011&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 周冬华 周思阳,共有股东; 股价崩盘风险; 公司治理; 信息透明度;,社会科学Ⅱ辑; 经济与管理科学,金融; 证券; 投资
18,2022/3/10,18.0,养老产业发展中金融政策工具的优化选用与配置方案,杨复卫; 温涛,安徽大学学报(哲学社会科学版),期刊,,431.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=18&recid=&FileName=ADZS202202015&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 杨复卫1 温涛2,养老产业; 金融政策工具; 工具组合; 配置方案;,社会科学Ⅱ辑; 社会科学Ⅰ辑; 经济与管理科学,中国政治与国际政治; 服务业经济; 贸易经济; 金融
19,2022/3/10,19.0,税收分权、资源错配与全要素生产率,李齐云; 周雪,安徽大学学报(哲学社会科学版),期刊,,853.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=19&recid=&FileName=ADZS202202012&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 李齐云 周雪,税收分权; 全要素生产率; 资源错配; 官员考核压力;,社会科学Ⅱ辑; 经济与管理科学,经济体制改革; 财政与税收
20,2022/3/10,20.0,“一带一路”服务贸易网络的结构特征与影响因素,潘安; 刘红,安徽大学学报(哲学社会科学版),期刊,,1011.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=20&recid=&FileName=ADZS202202013&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 潘安 刘红,一带一路; 服务贸易; 社会网络分析; 块模型;,社会科学Ⅱ辑; 经济与管理科学,贸易经济
21,2022/3/10,21.0,人力资源管理实践和工会实践耦合对工作重塑的影响——基于认知—情感系统理论,胡恩华; 张文林,安徽大学学报(哲学社会科学版),期刊,,1212.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=21&recid=&FileName=ADZS202202014&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 胡恩华 张文林,人力资源管理; 工会; 工作重塑; 角色宽度自我效能感; 类亲情交换; 认知—情感系统理论;,社会科学Ⅱ辑; 社会科学Ⅰ辑; 经济与管理科学,政党及群众组织; 企业经济
22,2022/3/10,22.0,人工智能发展中的经济风险及制度应对,侯东德; 周莉欣,安徽大学学报(哲学社会科学版),期刊,,734.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=22&recid=&FileName=ADZS202202008&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=," 侯东德1,2 周莉欣1",人工智能; 经济风险; 生产关系; 风险应对;,社会科学Ⅱ辑; 信息科技; 经济与管理科学,自动化技术; 经济体制改革
23,2022/3/10,23.0,正义与自我利益相悖吗?——以《理想国》中哲人回归洞穴为典例,张波波,安徽大学学报(哲学社会科学版),期刊,,1512.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=23&recid=&FileName=ADZS202202001&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 张波波,柏拉图; 哲人; 灵魂正义; 政治正义; 自我利益;,社会科学Ⅱ辑; 哲学与人文科学,哲学
24,2022/3/10,24.0,情绪何以是一种变动?——从海德格尔对亚里士多德哲学概念π■θο■之阐释出发,张云翼,安徽大学学报(哲学社会科学版),期刊,,238.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=24&recid=&FileName=ADZS202202002&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 张云翼,海德格尔; 情绪; π■θο■; 采取姿态; 变动;,社会科学Ⅱ辑; 哲学与人文科学,哲学
25,2022/3/10,25.0,工人运动的背叛者：大革命时期中国共产党对工贼的认识与斗争,刘海军,安徽大学学报(哲学社会科学版),期刊,,310.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=25&recid=&FileName=ADZS202202003&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 刘海军,大革命; 国民革命; 中国共产党; 工人运动; 工贼; 黄色工会;,社会科学Ⅱ辑; 社会科学Ⅰ辑,政党及群众组织
26,2022/3/10,26.0,宋代皮场王原型“壁镜”研究,程立中; 朱正业,安徽大学学报(哲学社会科学版),期刊,,134.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=26&recid=&FileName=ADZS202202004&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=," 程立中1,2 朱正业1",皮场王; 皮场庙; 壁镜; 蜘蛛; 疮疡;,社会科学Ⅱ辑; 哲学与人文科学,中国古代史
